DateTime,Global_active_power,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Voltage,Global_intensity,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,Sub_metering_remainder
2006-12-17,3390.46,226.00599999999997,2033.0,4187.0,13341.0,240.0870277777778,9.999027777777778,6.375,9.333,5.667,2.167,0.167,36946.667
2006-12-18,2203.826,161.792,1063.0,2621.0,14018.0,241.23169444444446,6.421666666666667,6.375,9.333,5.667,2.167,0.167,19028.433
2006-12-19,1666.194,150.942,839.0,7602.0,6197.0,241.9993125,4.926388888888889,6.375,9.333,5.667,2.167,0.167,13131.9
2006-12-20,2225.7479999999996,160.998,0.0,2648.0,14063.0,242.30806249999998,6.467361111111111,6.375,9.333,5.667,2.167,0.167,20384.8
2006-12-21,1716.6239999999998,144.166,1765.0,2623.0,10421.0,241.04054937413076,5.033796940194716,6.375,9.333,5.667,2.167,0.167,13801.4
2006-12-22,2341.338,186.906,3151.0,350.0,11131.0,241.1845486111111,6.872916666666667,6.375,9.333,5.667,2.167,0.167,24390.3
2006-12-23,4773.386,221.47000000000003,2669.0,425.0,14726.0,240.1360763888889,14.028055555555557,6.375,9.333,5.667,2.167,0.167,61736.433
2006-12-24,2550.0119999999997,149.9,1703.0,5082.0,6891.0,241.68743750000002,7.640416666666667,6.375,9.333,5.667,2.167,0.167,28824.2
2006-12-25,2743.12,240.28,6620.0,1962.0,5795.0,243.39993055555553,7.951527777777779,6.375,9.333,5.667,2.167,0.167,31341.667
2006-12-26,3934.1099999999997,165.10199999999998,1086.0,2533.0,14979.0,241.6254375,11.347916666666668,6.375,9.333,5.667,2.167,0.167,46970.5
2006-12-27,1528.7599999999998,178.902,0.0,314.0,6976.0,243.76736111111111,4.5175,6.375,9.333,5.667,2.167,0.167,18189.333
2006-12-28,2072.638,208.876,2207.0,4419.0,9176.0,243.26833333333335,6.086249999999999,6.375,9.333,5.667,2.167,0.167,18741.967
2006-12-29,3174.392,196.394,1252.0,5162.0,11329.0,240.87130555555558,9.271388888888888,6.375,9.333,5.667,2.167,0.167,35163.533
2006-12-30,2789.302,311.928,3072.0,7891.0,12480.0,240.54068845618914,8.292211404728791,6.375,9.333,5.667,2.167,0.167,23045.367
2006-12-31,3494.1960000000004,150.852,0.0,347.0,6502.0,239.89657638888886,10.199583333333335,6.375,9.333,5.667,2.167,0.167,51387.6
2007-01-01,2749.004,148.166,0.0,352.0,5880.0,240.12897916666665,7.916944444444444,2.836,10.2,0.6,0.0,0.0,39584.733
2007-01-02,1269.2359999999999,190.342,0.0,348.0,6562.0,241.94377777777777,3.7140277777777784,2.836,10.2,0.6,0.0,0.0,14243.933
2007-01-03,1014.054,196.728,0.0,344.0,4765.0,243.55709027777775,3.0140277777777778,2.836,10.2,0.6,0.0,0.0,11791.9
2007-01-04,3259.412,202.30200000000002,1051.0,7597.0,10896.0,239.7502986111111,9.478194444444444,2.836,10.2,0.6,0.0,0.0,34779.533
2007-01-05,2713.364,173.154,1483.0,379.0,7602.0,240.49576388888892,7.885138888888888,2.836,10.2,0.6,0.0,0.0,35758.733
2007-01-06,1508.3779999999997,192.18800000000002,1336.0,402.0,5678.0,239.67305555555555,4.543888888888888,2.836,10.2,0.6,0.0,0.0,17723.633
2007-01-07,2447.62,246.074,1987.0,8177.0,12810.0,240.90248611111113,7.282638888888889,2.836,10.2,0.6,0.0,0.0,17819.667
2007-01-08,2241.3599999999997,207.56799999999998,0.0,467.0,17547.0,239.5769513888889,6.551666666666668,2.836,10.2,0.6,0.0,0.0,19342.0
2007-01-09,1869.054,207.24800000000002,1688.0,4267.0,9790.0,240.48752083333332,5.521111111111112,2.836,10.2,0.6,0.0,0.0,15405.9
2007-01-10,2154.8,228.452,771.0,4456.0,11012.0,241.02745138888892,6.357777777777779,2.836,10.2,0.6,0.0,0.0,19674.333
2007-01-11,2255.194,230.01999999999998,1378.0,2170.0,12415.0,241.15568750000006,6.658333333333333,2.836,10.2,0.6,0.0,0.0,21623.567
2007-01-12,1461.2959999999998,199.14,0.0,439.0,8276.0,241.53820833333336,4.309166666666667,2.836,10.2,0.6,0.0,0.0,15639.933
2007-01-13,3186.814,290.736,7806.0,2975.0,11341.0,239.28361111111113,9.453055555555554,2.836,10.2,0.6,0.0,0.0,30991.567
2007-01-14,3007.8160000000003,227.12,1777.0,4215.0,12975.0,238.8218485059069,8.968311327310634,2.836,10.2,0.6,0.0,0.0,31163.267
2007-01-15,2148.678,174.86,1099.0,2239.0,15163.0,241.24090972222226,6.261527777777778,2.836,10.2,0.6,0.0,0.0,17310.3
2007-01-16,1686.404,185.428,2063.0,644.0,6583.0,241.9447569444445,4.975972222222222,2.836,10.2,0.6,0.0,0.0,18816.733
2007-01-17,2847.688,200.75199999999998,3500.0,5737.0,16064.0,241.00525000000005,8.283888888888889,2.836,10.2,0.6,0.0,0.0,22160.467
2007-01-18,1821.4620000000002,177.712,0.0,336.0,13491.0,240.89359722222224,5.3425,2.836,10.2,0.6,0.0,0.0,16530.7
2007-01-19,1480.44,170.05200000000002,2103.0,330.0,7172.0,240.16094444444445,4.37625,2.836,10.2,0.6,0.0,0.0,15069.0
2007-01-20,3133.732,238.362,4324.0,5222.0,11440.0,238.86747222222223,9.348055555555556,2.836,10.2,0.6,0.0,0.0,31242.867
2007-01-21,3407.262,229.73600000000002,10346.0,5567.0,11599.0,238.96811805555552,10.190694444444444,2.836,10.2,0.6,0.0,0.0,29275.7
2007-01-22,2180.4939999999997,168.642,1054.0,2983.0,11361.0,241.60313194444444,6.3552777777777765,2.836,10.2,0.6,0.0,0.0,20943.567
2007-01-23,1777.6399999999999,138.28,0.0,1064.0,5061.0,242.76255555555556,5.260833333333333,2.836,10.2,0.6,0.0,0.0,23502.333
2007-01-24,2987.8540000000003,178.06,3464.0,2480.0,11744.0,241.45769444444443,8.733611111111111,2.836,10.2,0.6,0.0,0.0,32109.567
2007-01-25,1596.3439999999998,144.16,1158.0,262.0,11239.0,243.42436111111112,4.629305555555556,2.836,10.2,0.6,0.0,0.0,13946.733
2007-01-26,1617.972,142.90200000000002,1163.0,261.0,8238.0,242.77179166666667,4.72138888888889,2.836,10.2,0.6,0.0,0.0,17304.2
2007-01-27,2044.0720000000001,148.24200000000002,1170.0,3896.0,12374.0,241.61656944444442,5.949861111111112,2.836,10.2,0.6,0.0,0.0,16627.867
2007-01-28,3090.2039999999997,153.35199999999998,3466.0,3997.0,12045.0,240.30478804725502,9.133703961084088,2.836,10.2,0.6,0.0,0.0,31995.4
2007-01-29,1982.664,165.696,1123.0,294.0,15254.0,240.9295972222222,5.788888888888889,2.836,10.2,0.6,0.0,0.0,16373.4
2007-01-30,1707.798,180.93400000000003,1123.0,1424.0,8149.0,241.84087499999998,5.028194444444445,2.836,10.2,0.6,0.0,0.0,17767.3
2007-01-31,2363.752,185.988,0.0,5950.0,15052.0,239.92113194444443,6.923611111111111,2.836,10.2,0.6,0.0,0.0,18393.867
2007-02-01,1824.76,150.264,1170.0,386.0,13145.0,240.3921388888889,5.332499999999999,8.4117,13.333,6.5,3.0,0.0,15711.667
2007-02-02,1667.7359999999999,139.542,0.0,356.0,11338.0,240.3343888888889,4.870833333333334,8.4117,13.333,6.5,3.0,0.0,16101.6
2007-02-03,4029.722,245.824,4746.0,4573.0,17834.0,238.91019444444444,11.815972222222221,8.4117,13.333,6.5,3.0,0.0,40009.033
2007-02-04,3595.94,186.494,3391.0,4597.0,14472.0,239.63333333333333,10.565416666666666,8.4117,13.333,6.5,3.0,0.0,37472.333
2007-02-05,1645.28,147.228,896.0,2564.0,7849.0,240.81031250000004,4.8204166666666675,8.4117,13.333,6.5,3.0,0.0,16112.333
2007-02-06,1273.48,142.566,1185.0,405.0,4517.0,241.26415972222225,3.7719444444444448,8.4117,13.333,6.5,3.0,0.0,15117.667
2007-02-07,2328.018,177.70800000000003,3299.0,3513.0,11986.0,241.1496944444444,6.791666666666667,8.4117,13.333,6.5,3.0,0.0,20002.3
2007-02-08,1801.414,138.89600000000002,2226.0,366.0,10157.0,241.79730555555554,5.248333333333333,8.4117,13.333,6.5,3.0,0.0,17274.567
2007-02-09,1620.198,158.066,0.0,3045.0,9770.0,241.74044444444445,4.727222222222223,8.4117,13.333,6.5,3.0,0.0,14188.3
2007-02-10,2829.3280000000004,192.974,5071.0,2831.0,14405.0,240.0368263888889,8.303749999999999,8.4117,13.333,6.5,3.0,0.0,24848.467
2007-02-11,3571.228,204.314,2430.0,4765.0,13114.0,239.5061458333333,10.526805555555555,8.4117,13.333,6.5,3.0,0.0,39211.467
2007-02-12,1877.6100000000001,136.704,2227.0,399.0,11517.0,240.09849999999997,5.503472222222222,8.4117,13.333,6.5,3.0,0.0,17150.5
2007-02-13,1414.5459999999998,134.678,0.0,2828.0,6256.0,241.16685416666667,4.143749999999999,8.4117,13.333,6.5,3.0,0.0,14491.767
2007-02-14,2498.672,202.506,3295.0,3793.0,11579.0,240.3753888888889,7.315138888888888,8.4117,13.333,6.5,3.0,0.0,22977.533
2007-02-15,1985.3459999999998,165.964,0.0,2363.0,14028.0,240.66922222222226,5.820277777777778,8.4117,13.333,6.5,3.0,0.0,16698.1
2007-02-16,1702.528,151.686,1148.0,859.0,8689.0,240.82094444444448,5.0465277777777775,8.4117,13.333,6.5,3.0,0.0,17679.467
2007-02-17,2076.912,238.96800000000002,1765.0,2226.0,7157.0,239.31603472222224,6.129166666666666,8.4117,13.333,6.5,3.0,0.0,23467.2
2007-02-18,3829.762,255.52200000000002,6107.0,8003.0,13129.0,239.17080555555557,11.238888888888887,8.4117,13.333,6.5,3.0,0.0,36590.367
2007-02-19,2186.6139999999996,176.584,1634.0,2900.0,13085.0,239.78958333333333,6.442222222222222,8.4117,13.333,6.5,3.0,0.0,18824.567
2007-02-20,3149.928,187.15800000000002,2058.0,5191.0,9713.0,239.86544444444445,9.168472222222222,8.4117,13.333,6.5,3.0,0.0,35536.8
2007-02-21,2072.8740000000003,189.87,3527.0,2332.0,11548.0,240.46096527777777,6.0744444444444445,8.4117,13.333,6.5,3.0,0.0,17140.9
2007-02-22,3369.478,137.954,1409.0,4129.0,12251.0,238.62353963838666,9.870792767732963,8.4117,13.333,6.5,3.0,0.0,38368.967
2007-02-23,1313.48,149.344,0.0,503.0,10786.0,240.68596527777777,3.825416666666667,8.4117,13.333,6.5,3.0,0.0,10602.333
